epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,7872.76,2.12434,1.21785,0.91915,0.64111,0.4452,0.49774,0.20497,2.01467,1.10378,0.89559,0.004786,0.004786,0.004786
81,7969.94,2.11894,1.21283,0.9207,0.63479,0.44584,0.49564,0.20449,2.0124,1.1,0.89426,0.00472,0.00472,0.00472
82,8069.25,2.11349,1.21077,0.91972,0.63182,0.4472,0.49763,0.20443,2.01551,1.10197,0.89532,0.004654,0.004654,0.004654
83,8167.43,2.11695,1.21435,0.92207,0.64906,0.43903,0.49658,0.20556,2.0102,1.10252,0.89431,0.004588,0.004588,0.004588
84,8264.29,2.11255,1.2054,0.91872,0.64856,0.43702,0.49708,0.20424,2.01552,1.10164,0.89571,0.004522,0.004522,0.004522
85,8360.63,2.10589,1.20219,0.9181,0.64465,0.44227,0.50058,0.20656,2.01289,1.10024,0.89497,0.004456,0.004456,0.004456
86,8457.57,2.10017,1.1986,0.91888,0.64756,0.43983,0.49743,0.20582,2.01385,1.10322,0.89637,0.00439,0.00439,0.00439
87,8555.68,2.08891,1.19089,0.91935,0.63442,0.44799,0.49905,0.20576,2.01405,1.10049,0.89549,0.004324,0.004324,0.004324
88,8652.45,2.0855,1.18434,0.91905,0.63532,0.44286,0.49716,0.20546,2.01017,1.1044,0.89471,0.004258,0.004258,0.004258
89,8750.11,2.09489,1.19212,0.91579,0.64884,0.44139,0.49941,0.20715,2.00589,1.09739,0.89403,0.004192,0.004192,0.004192
90,8848.43,2.09244,1.19133,0.91457,0.63868,0.44434,0.49756,0.20652,2.00511,1.10037,0.89413,0.004126,0.004126,0.004126
91,8945.48,2.0807,1.18272,0.91621,0.64388,0.44205,0.49923,0.20641,2.00875,1.09842,0.89429,0.00406,0.00406,0.00406
92,9042.8,2.08731,1.18761,0.91741,0.64651,0.44136,0.49604,0.20675,2.00365,1.09843,0.89404,0.003994,0.003994,0.003994
